Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2018,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 206                                   ,   12,   5,   42,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 207/1                                 ,  4 133,  3 745,   91,   ,   307,   5,   1,   2,   ,   ,   3,   ,   ,  4 030,   5,   1,   2,   ,   ,   3,   ,   ,
§ 207/2                                 ,   174,   171,   98,   ,   34,   ,   ,   ,   ,   ,   ,   ,   ,   201,   ,   ,   ,   ,   ,   ,   ,   ,
§ 208                                   ,   423,   258,   61,   ,   35,   97,   3,   ,   ,   ,   4,   ,   ,   280,   90,   3,   ,   ,   ,   4,   ,   ,
§ 210                                   ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 211/1                                 ,  1 543,  1 470,   95,   ,   50,   4,   ,   1,   ,   ,   1,   ,   ,  2 269,   5,   ,   1,   ,   ,   1,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IV. HLAVA Tr. zákona                    ,  26 702,  11 286,   42,  215 550,  1 315,   890,   16,   409,   ,   ,  1 296,   54,   ,  12 589,   862,   14,   516,   ,   ,  1 272,   49,   ,
§ 212                                   ,  17 232,  7 609,   44,  36 961,   533,   550,   12,   334,   ,   ,   975,   25,   ,  8 111,   562,   10,   407,   ,   ,   938,   28,   ,
     - § 212/1                          ,  9 128,  2 162,   24,  34 669,   361,   109,   4,   51,   ,   ,   246,   3,   ,  2 685,   117,   3,   76,   ,   ,   284,   4,   ,
     - § 212/2a                         ,  1 864,   728,   39,   608,   89,   70,   2,   43,   ,   ,   178,   7,   ,   837,   84,   2,   71,   ,   ,   184,   9,   ,
     - § 212/2b                         ,   28,   22,   79,   6,   ,   2,   ,   ,   ,   ,   2,   ,   ,   17,   2,   ,   ,   ,   ,   1,   ,   ,
     - § 212/2c                         ,  1 775,   495,   28,   659,   41,   56,   ,   27,   ,   ,   66,   3,   ,   518,   59,   ,   31,   ,   ,   67,   5,   ,
     - § 212/2d                         ,  1 001,   836,   84,   359,   7,   5,   ,   213,   ,   ,   172,   2,   ,   998,   6,   ,   229,   ,   ,   188,   2,   ,
     - § 212/2e                         ,   429,   383,   89,   457,   17,   ,   ,   ,   ,   ,   7,   ,   ,   416,   ,   ,   ,   ,   ,   6,   ,   ,
     - § 212/2f                         ,  3 007,  2 983,   99,   200,   18,   308,   6,   ,   ,   ,   304,   10,   ,  2 640,   294,   5,   ,   ,   ,   208,   8,   ,
§ 213                                   ,   559,   384,   69,  8 138,   86,   3,   ,   ,   ,   ,   3,   ,   ,   447,   3,   ,   ,   ,   ,   3,   ,   ,
§ 214                                   ,   194,   93,   48,   451,   22,   ,   ,   ,   ,   ,   ,   ,   ,   122,   ,   ,   ,   ,   ,   ,   ,   ,
§ 215                                   ,   25,   7,   28,   28,   2,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 216                                   ,   453,   417,   92,   787,   11,   84,   ,   10,   ,   ,   133,   20,   ,   410,   67,   ,   10,   ,   ,   133,   14,   ,
§ 217                                   ,   112,   82,   73,   673,   9,   8,   ,   ,   ,   ,   4,   ,   ,   82,   4,   ,   ,   ,   ,   4,   ,   ,
§ 218/1                                 ,   50,   35,   70,   11,   3,   3,   ,   ,   ,   ,   1,   ,   ,   41,   3,   ,   ,   ,   ,   1,   ,   ,
§ 218/2                                 ,   53,   31,   58,   11,   3,   4,   ,   ,   ,   ,   1,   1,   ,   37,   4,   ,   ,   ,   ,   1,   1,   ,
§ 219/1                                 ,  1 537,   473,   31,  1 268,   89,   11,   1,   7,   ,   ,   57,   ,   ,   573,   8,   1,   7,   ,   ,   52,   ,   ,
§ 220                                   ,   33,   2,   6,   40,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 221                                   ,  2 158,   843,   39,  69 973,   354,   3,   1,   1,   ,   ,   10,   ,   ,  1 175,   3,   1,   1,   ,   ,   11,   ,   ,
§ 222                                   ,   312,   203,   65,  9 321,   44,   ,   ,   ,   ,   ,   1,   ,   ,   261,   ,   ,   ,   ,   ,   1,   ,   ,
§ 223                                   ,   34,   14,   41,  2 487,   7,   ,   ,   ,   ,   ,   ,   ,   ,   27,   ,   ,   ,   ,   ,   ,   ,   ,
§ 225/1                                 ,   120,   88,   73,  4 653,   10,   1,   ,   ,   ,   ,   1,   ,   ,   111,   1,   ,   ,   ,   ,   1,   ,   ,
§ 225/2                                 ,   9,   2,   22,  1 288,   4,   ,   ,   ,   ,   ,   ,   ,   ,   6,   ,   ,   ,   ,   ,   ,   ,   ,
§ 226                                   ,   15,   3,   20,   145,   2,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 227                                   ,   3,   1,   33,   119,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 228/1                                 ,   3,   ,   ,   80,   2,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 231                                   ,   74,   61,   82,   ,   2,   1,   ,   ,   ,   ,   7,   1,   ,   61,   1,   ,   ,   ,   ,   8,   1,   ,
§ 232                                   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 233                                   ,   111,   25,   23,  3 648,   16,   ,   ,   ,   ,   ,   ,   ,   ,   26,   ,   ,   ,   ,   ,   ,   ,   ,
§ 235                                   ,   9,   6,   67,   7,   2,   ,   ,   ,   ,   ,   1,   ,   ,   10,   ,   ,   ,   ,   ,   1,   ,   ,
§ 236                                   ,   327,   122,   37,   312,   6,   3,   1,   3,   ,   ,   12,   ,   ,   134,   3,   1,   3,   ,   ,   13,   ,   ,
§ 237                                   ,   93,   16,   17,  46 086,   28,   ,   ,   ,   ,   ,   ,   ,   ,   43,   ,   ,   ,   ,   ,   ,   ,   ,
§ 238                                   ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/1                                 ,   87,   12,   14,  11 328,   10,   ,   ,   ,   ,   ,   ,   ,   ,   28,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/2                                 ,   5,   ,   ,   930,   1,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
